     timestamp        |   TestCR   |         NW arch         |       NW Activation Funcs      | epoch | initLR | LRthres | LRtype | LRScaling | momLower | momUpper | dropType | earlySt | maxFail | weightInit |   L1  |   L2  | maxNorm
06-03-18_20-04-40-311 |     0.4751 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_20-22-09-309 |     0.4305 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0500 |       1 |      2 |     0.950 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_20-52-44-973 |     0.4851 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0400 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-13-24-259 |     0.4792 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.999 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-29-53-016 |     0.4851 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0400 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-56-59-483 |     0.4882 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.1000 |       1 |      2 |     0.950 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_22-14-14-901 |     0.4804 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       20 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_22-34-45-931 |     0.4737 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  3.000
06-03-18_23-12-00-526 |     0.4834 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |        2 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_18-45-25-708 |     0.2449 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.100 |  0.000
04-03-18_18-49-08-998 |     0.2541 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.090 |  0.000
04-03-18_18-50-46-294 |     0.3388 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.050 |  0.000
04-03-18_18-53-15-268 |     0.4232 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.010 |  0.000
04-03-18_18-57-30-540 |     0.4327 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.009 |  0.000
04-03-18_18-59-54-506 |     0.4288 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.008 |  0.000
04-03-18_19-02-40-169 |     0.4283 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.007 |  0.000
04-03-18_19-05-29-397 |     0.4235 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.006 |  0.000
